title,company,summary,job_location,post_date,salary,availability
Sr Software Engineer - Enterprise Visualization and Analysis...,Lowe's,"JS, D3. JS, Containerization (Docker), and platform process automation.
The primary purpose of this role is to translate business requirements and functional…","Charlotte, NC 28202 (Downtown Charlotte area)+1 location",Posted30+ days ago,None,Full-time
Software Engineer - Advanced,Siemens,"Proven track record of leading small teams of developers as a team-leader/senior-developer.
Self-directed work on projects with latitude for independent…","Charlotte, NC+1 location",Posted30+ days ago,None,Full-time
Senior Cloud Engineer,LPL Financial,This Engineer will possess technical expertise and engineering skill which allows her/him to be grow into a leading subject matter expert for both Investor and…,"Fort Mill, SC 29715",Posted12 days ago,None,None
Software Engineer III,Bank of America,This role is expected to contribute to the foundational design of NFRR Platform roadmap and develop core (re-usable) framework components spanning the full…,"Charlotte, NC 28202 (Third Ward area)+8 locations",Posted30+ days ago,None,Full-time
Ubuntu Desktop Software Engineer,Canonical - Jobs,"Candidates should have engineering experience with two or more of Ubuntu Desktop, Flutter, Dart, GNOME, GTK, Python, Go, C, Debian or Snap packaging.","Remote in Charlotte, NC",Posted30+ days ago,Estimated $106K - $134K a year,None
Senior Backend Software Engineer - Siemens Comfy | Enlighted...,Siemens,"Experience with Django, Flask, FastAPI, or similar python web frameworks.
We're building systems that integrate IoT, real-time data and web/mobile apps and we…","Remote in Charlotte, NC",Posted26 days ago,None,Full-time
Threat Researcher - Offensive R&D - Opportunity for Working...,VMware,"VMware Carbon Black, the leader in advanced threat protection, is seeking a Threat Researcher to join its Threat Analysis Unit (TAU).","Remote in Charlotte, NC",Posted30+ days ago,None,Full-time
Staff DevOps Engineer - REMOTE,Snap One,"This position will work closely with other Product Cloud Engineers; including, development, product, marketing, QA and tech support teams to deliver highly…","Remote in Charlotte, NC 28273",Posted30+ days ago,Estimated $112K - $141K a year,Full-time
Senior Software Engineer,Ally Financial,"Seeking an innovative and passionate AWS API Developer with strong technical ability, communication, and collaboration skills to build and support Enterprise…","Charlotte, NC 28202 (Downtown Charlotte area)+1 location",Posted30 days ago,None,Full-time
"Application Delivery Architect, Core Technology Organization",Bank of America,"The Application Delivery Architect is a technical visionary who’ll align technology capabilities with business requirements, define architectures, develop…","Charlotte, NC",Posted30+ days ago,None,Full-time
"Senior Backend Engineer, Edge",Jumpcloud,JumpCloud is focused on delivering cloud-based directory services requiring ensuring our service is highly available and highly reliable.,"Remote in Charlotte, NC",Posted30 days ago,Estimated $126K - $159K a year,Full-time
